@relation csvPartidos

@attribute surface {Hard,Clay,Grass}
@attribute P1_hand {R,L,U}
@attribute P2_hand {R,L,U}
@attribute P1_ht numeric
@attribute P2_ht numeric
@attribute P1_age numeric
@attribute P2_age numeric
@attribute P1_ace numeric
@attribute P2_ace numeric
@attribute P1_df numeric
@attribute P2_df numeric
@attribute P1_svpt numeric
@attribute P2_svpt numeric
@attribute P1_1stIn numeric
@attribute P2_1stIn numeric
@attribute P1_1stWon numeric
@attribute P2_1stWon numeric
@attribute P1_2ndWon numeric
@attribute P2_2ndWon numeric
@attribute P1_SvGms numeric
@attribute P2_SvGms numeric
@attribute P1_bpSaved numeric
@attribute P2_bpSaved numeric
@attribute P1_rank numeric
@attribute P2_rank numeric
@attribute P1_bpFaced numeric
@attribute P2_bpFaced numeric
@attribute WINNER {P1,P2}

@data
Hard,R,L,188,190,30.65,30.38,5,3,3,3,67,70,42,38,32,21,10,13,11,10,1,3,52,34,4,8,P1
Hard,L,R,188,?,36.3,21.76,10,23,4,3,93,104,60,61,49,47,18,24,15,16,4,5,36,462,5,7,P1
Hard,R,L,?,188,18.89,34.15,3,3,3,4,59,45,38,27,29,16,10,9,9,9,6,2,167,40,7,6,P1
Hard,R,R,172,?,25.64,27.71,7,7,3,3,51,54,29,32,26,22,11,5,9,8,2,6,30,53,3,10,P1
Hard,L,R,183,185,29.53,27.67,8,11,7,2,94,101,53,60,42,45,26,19,17,17,1,4,28,71,3,7,P1
Hard,R,L,175,?,27.55,25.01,7,21,7,1,91,95,48,51,40,43,27,23,17,17,4,6,138,189,6,9,P1
Hard,R,R,180,193,29.17,31.91,13,13,9,7,121,95,58,53,44,38,30,16,17,16,9,3,37,54,13,9,P1
Hard,R,R,?,178,21.91,34.23,8,1,1,1,55,56,36,33,33,17,8,13,9,8,3,2,84,29,3,5,P1
Hard,R,R,?,183,21.25,33.03,3,2,5,3,45,58,27,32,20,20,10,8,8,9,2,9,55,57,3,14,P1
Hard,R,R,183,?,36.07,23.72,15,6,4,3,85,67,58,40,46,27,9,15,11,11,4,3,45,99,6,6,P1
Hard,L,R,193,183,34.67,28.57,14,8,2,1,67,86,53,55,40,37,9,16,11,11,1,6,25,127,2,8,P1
Hard,R,R,196,188,28.67,30.65,7,5,2,2,58,64,34,44,28,30,18,9,12,12,2,0,42,52,3,4,P1
Hard,L,R,188,170,36.3,25.4,15,2,3,0,60,60,43,32,38,22,9,17,11,10,1,2,36,26,2,4,P1
Hard,R,R,?,172,18.89,25.64,4,1,1,2,33,42,21,25,15,15,8,4,5,6,1,5,167,30,1,9,P1
Hard,L,R,183,175,29.53,27.55,3,0,1,2,32,47,23,22,21,10,7,10,7,8,0,0,28,138,0,5,P1
Hard,R,R,178,180,30.63,29.17,4,10,3,4,91,93,56,51,41,38,19,20,14,14,1,2,27,37,2,4,P1
Hard,R,R,?,?,21.91,21.25,6,3,1,2,78,104,49,67,41,43,19,23,15,16,2,7,84,55,3,10,P1
Hard,R,L,183,188,36.07,29.98,10,6,3,3,71,89,42,52,38,32,12,21,11,10,2,12,45,22,2,14,P1
Hard,R,L,196,193,28.67,34.67,17,5,3,3,54,63,34,37,30,30,11,10,10,10,0,3,42,25,0,5,P1
Hard,R,L,?,188,18.89,36.3,5,6,3,0,63,64,40,41,30,29,12,10,10,10,1,2,167,36,2,5,P1
Hard,R,L,178,183,30.63,29.53,8,5,9,6,119,115,70,66,51,42,23,25,16,16,6,6,27,28,9,11,P1
Hard,R,R,?,183,21.91,36.07,5,0,1,2,42,59,20,40,18,24,16,8,9,9,0,5,84,45,1,9,P1
Hard,R,R,?,196,18.89,28.67,3,6,3,5,95,74,62,34,45,27,16,13,12,12,7,3,167,42,8,8,P1
Hard,R,R,?,178,21.91,30.63,10,3,5,3,80,87,46,49,34,33,17,18,13,12,5,9,84,27,8,13,P1
Hard,R,R,?,?,21.91,18.89,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,84,167,?,?,P1
Hard,L,R,185,173,31.62,37.45,2,1,1,1,66,61,48,40,37,19,12,5,11,10,5,4,1,79,6,12,P1
Hard,R,R,188,?,30.67,22.26,12,10,1,1,66,123,46,74,46,50,14,20,14,15,0,12,52,101,0,16,P1
Hard,R,R,183,?,28.59,21.17,10,2,2,4,108,79,69,48,51,27,17,14,15,14,5,2,122,46,7,8,P1
Hard,R,R,172,183,25.66,36.08,3,18,5,5,127,179,74,92,58,68,27,41,23,24,4,8,30,44,9,13,P1
Hard,R,R,170,180,25.42,27.55,14,6,7,8,189,183,109,126,68,78,40,24,30,29,14,13,26,75,25,24,P1
Hard,R,R,?,?,19.07,21.22,9,27,4,16,225,195,153,120,102,99,43,31,31,31,14,8,138,134,16,12,P1
Hard,R,R,180,190,29.19,30.82,11,11,4,7,88,112,46,63,36,40,19,17,15,16,4,9,37,448,8,16,P1
Hard,R,R,188,206,30.14,32.72,13,24,4,2,97,105,68,68,57,48,18,20,18,19,2,0,78,16,3,4,P1
Hard,R,R,188,?,26.51,24.66,10,6,4,11,122,153,81,91,58,59,17,22,20,21,4,11,11,243,9,20,P1
Hard,R,R,183,193,33.05,27.25,2,12,6,2,106,84,72,49,51,33,17,18,16,15,3,5,57,92,5,10,P1
Hard,R,R,185,?,33.99,25.08,9,9,6,6,162,176,85,96,61,63,37,33,26,25,9,14,100,210,17,24,P1
Hard,L,L,193,190,34.69,27.28,15,4,2,3,88,111,59,74,46,49,20,17,16,15,3,8,28,67,3,11,P1
